UNKNOWN
version=1
nRows=1501
nColumns=3
inDegrees=no
endheader
time	time	ground_force_vy
     94.00000000	      0.15670000	     36.51058185
     95.00000000	      0.15830000	     32.52841599
     96.00000000	      0.16000000	     28.86339598
     97.00000000	      0.16170000	     25.50836549
     98.00000000	      0.16330000	     22.45373947
     99.00000000	      0.16500000	     19.68774747
    100.00000000	      0.16670000	     17.19665682
    101.00000000	      0.16830000	     14.96508691
    102.00000000	      0.17000000	     12.97635390
    103.00000000	      0.17170000	     11.21285648
    104.00000000	      0.17330000	      9.65643223
    105.00000000	      0.17500000	      8.28871531
    106.00000000	      0.17670000	      7.09153620
    107.00000000	      0.17830000	      6.04715661
    108.00000000	      0.18000000	      5.13862729
    109.00000000	      0.18170000	      4.35001887
    110.00000000	      0.18330000	      3.66659875
    111.00000000	      0.18500000	      3.07502898
    112.00000000	      0.18670000	      2.56342725
    113.00000000	      0.18830000	      2.12141012
    114.00000000	      0.19000000	      0.00000000
    115.00000000	      0.19170000	      0.00000000
    116.00000000	      0.19330000	      0.00000000
    117.00000000	      0.19500000	      0.00000000
    118.00000000	      0.19670000	      0.00000000
    119.00000000	      0.19830000	      0.00000000
    120.00000000	      0.20000000	      0.00000000
    121.00000000	      0.20170000	      0.00000000
    122.00000000	      0.20330000	      0.00000000
    123.00000000	      0.20500000	      0.00000000
    124.00000000	      0.20670000	      0.00000000
    125.00000000	      0.20830000	      0.00000000
    126.00000000	      0.21000000	      0.00000000
    127.00000000	      0.21170000	      0.00000000
    128.00000000	      0.21330000	      0.00000000
    129.00000000	      0.21500000	      0.00000000
    130.00000000	      0.21670000	      0.00000000
    131.00000000	      0.21830000	      0.00000000
    132.00000000	      0.22000000	      0.00000000
    133.00000000	      0.22170000	      0.00000000
    134.00000000	      0.22330000	      0.00000000
    135.00000000	      0.22500000	      0.00000000
    136.00000000	      0.22670000	      0.00000000
    137.00000000	      0.22830000	      0.00000000
    138.00000000	      0.23000000	      0.00000000
    139.00000000	      0.23170000	      0.00000000
    140.00000000	      0.23330000	      0.00000000
    141.00000000	      0.23500000	      0.00000000
    142.00000000	      0.23670000	      0.00000000
    143.00000000	      0.23830000	      0.00000000
    144.00000000	      0.24000000	      0.00000000
    145.00000000	      0.24170000	      0.00000000
    146.00000000	      0.24330000	      0.00000000
    147.00000000	      0.24500000	      0.00000000
    148.00000000	      0.24670000	      0.00000000
    149.00000000	      0.24830000	      0.00000000
    150.00000000	      0.25000000	      0.00000000
    151.00000000	      0.25170000	      0.00000000
    152.00000000	      0.25330000	      0.00000000
    153.00000000	      0.25500000	      0.00000000
    154.00000000	      0.25670000	      0.00000000
    155.00000000	      0.25830000	      0.00000000
    156.00000000	      0.26000000	      0.00000000
    157.00000000	      0.26170000	      0.00000000
    158.00000000	      0.26330000	      0.00000000
    159.00000000	      0.26500000	      0.00000000
    160.00000000	      0.26670000	      0.00000000
    161.00000000	      0.26830000	      0.00000000
    162.00000000	      0.27000000	      0.00000000
    163.00000000	      0.27170000	      0.00000000
    164.00000000	      0.27330000	      0.00000000
    165.00000000	      0.27500000	      0.00000000
    166.00000000	      0.27670000	      0.00000000
    167.00000000	      0.27830000	      0.00000000
    168.00000000	      0.28000000	      0.00000000
    169.00000000	      0.28170000	      0.00000000
    170.00000000	      0.28330000	      0.00000000
    171.00000000	      0.28500000	      0.00000000
    172.00000000	      0.28670000	      0.00000000
    173.00000000	      0.28830000	      0.00000000
    174.00000000	      0.29000000	      0.00000000
    175.00000000	      0.29170000	      0.00000000
    176.00000000	      0.29330000	      0.00000000
    177.00000000	      0.29500000	      0.00000000
    178.00000000	      0.29670000	      0.00000000
    179.00000000	      0.29830000	      0.00000000
    180.00000000	      0.30000000	      0.00000000
    181.00000000	      0.30170000	      0.00000000
    182.00000000	      0.30330000	      0.00000000
    183.00000000	      0.30500000	      0.00000000
    184.00000000	      0.30670000	      0.00000000
    185.00000000	      0.30830000	      0.00000000
    186.00000000	      0.31000000	      0.00000000
    187.00000000	      0.31170000	      0.00000000
    188.00000000	      0.31330000	      0.00000000
    189.00000000	      0.31500000	      0.00000000
    190.00000000	      0.31670000	      0.00000000
    191.00000000	      0.31830000	      0.00000000
    192.00000000	      0.32000000	      0.00000000
    193.00000000	      0.32170000	      0.00000000
    194.00000000	      0.32330000	      0.00000000
    195.00000000	      0.32500000	      0.00000000
    196.00000000	      0.32670000	      0.00000000
    197.00000000	      0.32830000	      0.00000000
    198.00000000	      0.33000000	      0.00000000
    199.00000000	      0.33170000	      0.00000000
    200.00000000	      0.33330000	      0.00000000
    201.00000000	      0.33500000	      0.00000000
    202.00000000	      0.33670000	      0.00000000
    203.00000000	      0.33830000	      0.00000000
    204.00000000	      0.34000000	      0.00000000
    205.00000000	      0.34170000	      0.00000000
    206.00000000	      0.34330000	      0.00000000
    207.00000000	      0.34500000	      0.00000000
    208.00000000	      0.34670000	      0.00000000
    209.00000000	      0.34830000	      0.00000000
    210.00000000	      0.35000000	      0.00000000
    211.00000000	      0.35170000	      0.00000000
